experiment,revision,run,case,arm,repetition,run_ms,main_ms,verification_ms,tool_calls,model_turns,tool_output_bytes,input_tokens,cache_read_tokens,incomplete_sessions,retained_findings,expected_roots,confirmed_roots,severity_matched_roots,clean_case_findings
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,01,chain-defect,linked-review,1,17464,11240,5067,11,10,7444,54252,216064,0,1,1,1,1,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,02,defect,linked-verification,1,21102,14080,5993,16,7,13146,56882,140288,0,3,3,3,3,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,03,contracts-02,linked-verification,1,18875,11712,5924,14,10,6896,54246,215040,0,1,1,1,1,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,04,contracts-01,linked-review,1,5606,4588,0,3,4,4716,28274,81920,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,05,clean,linked-all,1,5004,4016,0,3,2,5907,28743,27392,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,06,chain-defect,linked-all,1,18301,12633,4388,13,9,8766,53934,190208,0,1,1,1,1,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,07,clean,baseline,1,4828,3598,0,2,2,1608,27749,27392,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,08,contracts-01,linked-all,1,6586,5294,0,3,3,3520,28062,54784,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,09,chain-clean,baseline,1,27689,14507,12181,15,7,6207,53883,132864,0,1,0,0,0,1
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,10,chain-defect,linked-verification,1,16380,10069,5330,19,8,8802,54040,159744,0,1,1,1,1,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,11,defect,linked-all,1,18340,8470,8616,15,5,7988,55244,83200,0,3,3,3,3,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,12,contracts-01,baseline,1,5213,4159,0,3,3,758,27460,53760,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,13,contracts-02,baseline,1,23442,17580,4874,12,11,4146,53180,242688,0,1,1,1,1,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,14,contracts-02,linked-review,1,17999,11548,5480,10,8,4567,52926,161280,0,1,1,1,1,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,15,contracts-02,linked-all,1,13699,8285,4177,11,7,8810,54042,133120,0,1,1,1,1,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,16,contracts-01,linked-verification,1,6628,5428,0,3,4,758,27116,81152,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,17,chain-defect,baseline,1,20848,13154,6709,22,12,6844,54004,265728,0,1,1,1,1,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,18,clean,linked-review,1,4263,3266,0,4,2,4362,28474,27392,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,19,chain-clean,linked-verification,1,11695,10678,0,3,4,2308,27556,82688,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,20,defect,linked-review,1,26433,17146,8283,14,6,6383,54758,112128,0,3,3,3,3,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,21,defect,baseline,1,26046,19052,5986,14,7,10313,57072,141568,0,3,3,3,3,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,22,clean,linked-verification,1,5238,4186,0,3,2,2377,27986,27392,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,23,chain-clean,linked-all,1,17735,16479,0,10,4,4490,28756,84224,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,24,chain-clean,linked-review,1,54218,40739,12241,16,7,8813,54450,134656,0,1,0,0,0,1
